,date, pm25, pm10, o3, no2, so2, co,AQI,AQI_bucket
220,2019-11-03,292.0,110.10087719298245,20.0,36.0,6.0,11.476315789473684,499.7642857142857,Severe
221,2019-11-04,412.0,110.10087719298245,27.0,38.0,7.0,11.476315789473684,499.93888888888887,Severe
222,2019-11-05,343.0,110.10087719298245,23.0,47.0,23.0,11.476315789473684,499.89354838709676,Severe
223,2019-11-06,249.0,110.10087719298245,32.0,42.0,8.0,11.476315789473684,399.2325581395349,Very Poor
224,2019-11-07,250.0,110.10087719298245,35.0,49.0,8.0,11.476315789473684,400.0,Very Poor
225,2019-11-08,247.0,110.10087719298245,31.0,39.0,7.0,11.476315789473684,397.69767441860466,Very Poor
226,2019-11-09,205.0,110.10087719298245,30.0,29.0,5.0,11.476315789473684,365.4651162790698,Very Poor
227,2019-11-10,188.0,110.10087719298245,35.0,39.0,6.0,11.476315789473684,352.4186046511628,Very Poor
228,2019-11-11,220.0,110.10087719298245,37.0,49.0,8.0,11.476315789473684,376.9767441860465,Very Poor
229,2019-11-12,271.0,110.10087719298245,45.0,49.0,14.0,11.476315789473684,499.52857142857135,Severe
230,2019-11-13,313.0,110.10087719298245,41.0,41.0,9.0,11.476315789473684,499.8428571428571,Severe
231,2019-11-14,281.0,110.10087719298245,39.0,36.0,12.0,11.476315789473684,499.6806451612903,Severe
232,2019-11-15,284.0,110.10087719298245,26.0,41.0,30.0,11.476315789473684,499.7088235294117,Severe
233,2019-11-16,334.0,110.10087719298245,26.0,17.0,7.0,11.476315789473684,499.8821428571428,Severe
234,2019-11-17,206.0,110.10087719298245,26.0,21.0,4.0,11.476315789473684,366.2325581395349,Very Poor
235,2019-11-18,175.0,110.10087719298245,27.0,35.0,38.0,11.476315789473684,342.4418604651163,Very Poor
236,2019-11-19,231.0,110.10087719298245,37.0,40.0,26.0,11.476315789473684,385.4186046511628,Very Poor
237,2019-11-20,278.0,110.10087719298245,36.0,36.0,7.0,11.476315789473684,499.6464285714285,Severe
